codigo;ferramenta;data
171253;LAVADORA DE PRESSÃO (VAP);2024-01-29
170888;LAVADORA DE PRESSÃO (VAP);2024-01-29
171348;LEITOR ( NÍVEL A LASER);2024-01-29
171025;LIMA DE AMOLAR;2024-01-29
171311;LIMA DE AMOLAR;2024-01-29
171326;LIMA DE AMOLAR;2024-01-29
171380;LIMA DE AMOLAR;2024-01-29
170886;LIXADEIRA;2024-01-29
171122;LIXADEIRA GRANDE ;2024-01-29
170867;LIXADEIRA GRANDE ;2024-01-29
169939;LIXADEIRA PEQUENA;2024-01-29
151105;LIXADEIRA PEQUENA;2024-01-29
151133;LIXADEIRA PEQUENA;2024-01-29
170898;LIXADEIRA PEQUENA;2024-01-29
170872;LIXADEIRA PEQUENA;2024-01-29
170866;LIXADEIRA PEQUENA;2024-01-29
171024;LIXADEIRA PEQUENA;2024-01-29
174516;LIXADEIRA PEQUENA;2024-01-29
174510;LIXADEIRA PEQUENA;2024-01-29
174513;LIXADEIRA PEQUENA;2024-01-29
169938;LIXADEIRA PEQUENA;2024-01-29
174511;LIXADEIRA PEQUENA ;2024-01-29
174509;LIXADEIRA PEQUENA ;2024-01-29
174514;LIXADEIRA PEQUENA ;2024-01-29
151109;LIXADEIRA PEQUENA  ;2024-01-29
151166;LIXADEIRA PEQUENA (SERRALHERIA);2024-01-29
169940;LIXADEIRA PEQUENA (VITÓRIA);2024-01-29
169941;LIXADEIRA PEQUENA (VITÓRIA);2024-01-29
169936;LIXADEIRA PEQUENA (VITÓRIA);2024-01-29
878787;LIXADEIRA POLIDORA - HILTI;2024-01-29
174504;LIXADEIRA POLITRIZ;2024-01-29
174508;LIXADEIRA POLITRIZ;2024-01-29
174505;LIXADEIRA POLITRIZ;2024-01-29
171012;MACACO HIDRÁULICO;2024-01-29
171017;MALETA PEX VERMELHA;2024-01-29
171015;MALETA PEX VERMELHA;2024-01-29
171145;MARRETA - 10 KG;2024-01-29
171146;MARRETA - 10 KG ;2024-01-29
171329;MARTELETE 10 KG LOCADO;2024-01-29
171333;MARTELETE 10 KG LOCADO;2024-01-29
171261;MARTELETE 10 KG LOCADO;2024-01-29
171255;MARTELETE 5 KG;2024-01-29
171282;MARTELETE 5 KG;2024-01-29
170250;MARTELETE 5 KG - DE WALT;2024-01-29
